Post,id,likes_count,from_id,from_name,message,created_time,type,link,story,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count
1,635054059945646_10155894476867488,18181,6.35E+14,Black Panther,A king will rise. Watch the brand-new spot for Marvel Studiosí ìBlack Panther î in theaters February 16!,2017-12-25T17:01:12+0000,video,https://www.facebook.com/BlackPantherMovie/videos/10155894476867488/,NA,833,8853,6497,38,720,2,1
2,635054059945646_10155981451892488,6069,6.35E+14,Black Panther,ìYou need a hero.î - Kendrick Lamar #BlackPanther (via Chadwick Boseman),2018-01-25T19:25:22+0000,video,https://www.facebook.com/BlackPantherMovie/videos/10155981451892488/,NA,242,1817,1874,11,306,0,2
3,635054059945646_10156020707412488,4295,6.35E+14,Black Panther,"Tag who youíre going to see Marvel Studios' ""Black Panther"" with. Get tickets now: http://www.fandango.com/blackpanther",2018-02-07T18:07:27+0000,video,https://www.facebook.com/BlackPantherMovie/videos/10156020707412488/,NA,547,1246,1556,14,201,3,1
4,635054059945646_1402351133215931,12596,6.35E+14,Black Panther,NA,2017-10-16T13:26:19+0000,photo,https://www.facebook.com/chadwickboseman/photos/a.405869824863.182772.137569069863/10155313289119864/?type=3,Black Panther shared a photo.,222,16,3786,20,536,4,3
5,635054059945646_1416438561807188,4618,6.35E+14,Black Panther,"Happy Birthday to Letitia Wright! We canít wait to see Shuri in Marvel Studios' ""Black Panther."" Whoís excited?",2017-10-31T21:00:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1416438561807188/?type=3,NA,65,323,827,6,91,0,1
6,635054059945646_1423337257783985,13475,6.35E+14,Black Panther,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF> days until Marvel Studios' ""Black Panther""!",2017-11-08T18:00:01+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1423337257783985/,NA,471,6257,4501,20,612,3,2
7,635054059945646_1424245741026470,27650,6.35E+14,Black Panther,Wakanda Forever. #BlackPanther,2017-11-09T18:03:18+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1424244711026573/?type=3,NA,942,15002,9795,31,1296,3,2
8,635054059945646_1429861920464852,1212,6.35E+14,Black Panther,"Happy Birthday to Winston Duke! Whoís excited to see him in Marvel Studios' ""Black Panther""?",2017-11-15T22:30:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1429861920464852/?type=3,NA,27,24,108,9,4,0,0
9,635054059945646_1438031436314567,7444,6.35E+14,Black Panther,Three months until Marvel Studiosí ìBlack Panther.î,2017-11-24T18:51:42+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1438031436314567/,NA,179,1426,2225,11,265,4,1
10,635054059945646_1443404995777211,10580,6.35E+14,Black Panther,"Happy Birthday to Black Panther himself, Chadwick Boseman!",2017-11-29T20:45:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1443404995777211/?type=3,NA,198,633,2374,15,130,0,0
